year,race,total
2013,white,5267
2013,black,2911
2013,asian,382
2013,american_indian_alaska_native,80
2013,two_or_more,272
2014,white,6155
2014,black,4785
2014,asian,1345
2014,american_indian_alaska_native,145
2014,two_or_more,534
2015,white,4926
2015,black,3498
2015,asian,156
2015,american_indian_alaska_native,50
2015,two_or_more,257
2016,white,3216
2016,black,1557
2016,asian,283
2016,american_indian_alaska_native,49
2016,two_or_more,222
2017,white,3926
2017,black,5904
2017,asian,225
2017,american_indian_alaska_native,196
2017,two_or_more,283
2018,white,13944
2018,black,9870
2018,asian,1110
2018,american_indian_alaska_native,302
2018,two_or_more,1208
2019,white,8126
2019,black,5491
2019,asian,792
2019,american_indian_alaska_native,165
2019,two_or_more,626
2020,white,2742
2020,black,2756
2020,asian,842
2020,american_indian_alaska_native,82
2020,two_or_more,394
2021,white,11500
2021,black,16212
2021,asian,732
2021,american_indian_alaska_native,256
2021,two_or_more,1042
2022,white,15083
2022,black,15656
2022,asian,2397
2022,american_indian_alaska_native,163
2022,two_or_more,1926
2023,white,2976
2023,black,1852
2023,asian,227
2023,american_indian_alaska_native,94
2023,two_or_more,262
